movie_title,genres,tomatometer_rating
Game of Death,Action & Adventure; Art House & International,50.0
The General,Comedy; Drama; Romance,93.0
The Getaway,Action & Adventure; Classics; Drama,86.0
Girls! Girls! Girls!,Classics; Comedy; Musical & Performing Arts; Special Interest; Romance,33.0
Gloria,Action & Adventure; Comedy; Drama; Mystery & Suspense,93.0
Glory,Drama,93.0
Go West,Classics; Comedy; Musical & Performing Arts; Western,89.0
Gone in 60 Seconds,Action & Adventure; Cult Movies; Drama; Mystery & Suspense,43.0
The Goodbye Girl,Comedy; Romance,84.0
Goodbye; Mr. Chips,Art House & International; Classics; Comedy; Drama; Romance,82.0
The Great Gatsby,Classics; Drama; Romance,39.0
The Great Race,Action & Adventure; Classics; Comedy; Kids & Family; Romance,74.0
The Green Berets,Action & Adventure; Classics; Drama,23.0
Grizzly,Horror; Mystery & Suspense,40.0
The Group,Drama,60.0
Gulliver's Travels,Action & Adventure; Animation; Classics; Comedy; Kids & Family,69.0
The Gunfighter,Action & Adventure; Drama; Western,100.0
Gung Ho,Comedy,33.0
Gypsy,Classics; Musical & Performing Arts,64.0
Hairspray,Comedy; Drama; Musical & Performing Arts,98.0
Halloween,Horror; Mystery & Suspense,96.0
Hamlet,Classics; Drama,95.0
The Hand,Drama; Horror,11.0
Hard Times,Action & Adventure; Classics; Drama,92.0
Hardcore,Drama,76.0
The Harder They Fall,Classics; Drama; Mystery & Suspense,100.0
The Haunting,Classics; Horror,88.0
Hawaii,Action & Adventure; Classics; Drama,67.0
Heat,Action & Adventure; Drama,17.0
Heaven,Documentary; Special Interest,67.0
Heaven Can Wait,Comedy; Science Fiction & Fantasy; Romance; Sports & Fitness,88.0
Heidi,Action & Adventure; Classics; Drama; Kids & Family,100.0
The Hidden Fortress (kakushi-toride No San-akunin),Action & Adventure; Art House & International; Classics; Drama,97.0
The Hills Have Eyes,Horror; Mystery & Suspense,65.0
The Hindenburg,Action & Adventure; Drama; Mystery & Suspense,36.0
The Hit,Action & Adventure; Comedy; Drama; Mystery & Suspense,86.0
